School_deID,GradeLevel,StudentGender,StudentEthnicity,Special_Education,Homeless,SocioEconomically,TestDayName,OverallScore,OverallLevel,ExpectedAttendanceDays,DaysAttended,EnrolledPct,GradeAttendedPct,TeacherGender,TeacherTotalYearsOfService,TeacherEthnicity,OverallScoreStd,TotalAssessments,Growth
0,0,0,4,0,0,1,5,1628,4,180.0,175.0,1.0,0.9722222222222222,0,2,7,0.8690909090909091,2,0
0,1,0,4,0,0,1,5,1535,4,180.0,173.0,1.0,1.9611111111111112,0,8,3,0.8071278825995807,2,0
9,2,1,4,0,0,1,1,1497,4,180.0,163.0,1.0,2.9055555555555554,0,14,7,0.6309090909090909,1,0
3,4,1,4,1,0,1,1,1498,3,180.0,158.0,1.0,4.877777777777778,0,2,7,0.5989672977624785,1,0
7,5,1,4,1,0,0,4,1459,1,170.0,146.0,0.9444444444444444,5.858823529411764,0,4,7,0.53184165232358,5,0
7,1,1,4,0,0,1,0,1429,2,180.0,150.0,1.0,1.8333333333333333,0,8,3,0.5849056603773585,5,0
7,2,1,4,1,0,1,0,1429,2,180.0,176.0,1.0,2.977777777777778,0,28,3,0.5072727272727273,5,0
7,3,1,4,1,0,1,2,1396,1,180.0,172.0,1.0,3.955555555555556,0,19,7,0.47126436781609193,5,-1
7,4,1,4,1,0,0,4,1426,1,180.0,169.0,1.0,4.938888888888889,0,3,7,0.4750430292598967,5,0
2,4,1,4,0,0,1,1,1498,3,180.0,171.0,1.0,4.95,0,4,7,0.5989672977624785,3,0
2,5,1,4,0,0,1,1,1500,2,180.0,180.0,1.0,5.999999,0,11,2,0.6024096385542169,3,-1
2,6,1,4,0,0,1,0,1522,3,180.0,178.0,1.0,6.988888888888889,0,20,7,0.6424870466321243,3,1
4,0,0,4,0,0,1,6,1439,3,180.0,176.0,1.0,0.9777777777777776,0,6,3,0.5254545454545455,4,0
4,1,0,4,0,0,1,4,1476,3,180.0,175.0,1.0,1.9722222222222223,0,6,3,0.6834381551362684,4,0
4,3,0,4,0,0,1,1,1443,1,180.0,162.0,1.0,3.9,0,25,3,0.5613026819923371,4,-2
4,4,0,4,0,0,1,5,1477,2,170.0,160.0,0.9444444444444444,4.941176470588236,1,25,7,0.5628227194492255,4,1
8,4,1,4,0,0,1,5,1471,2,180.0,170.0,1.0,4.944444444444445,0,6,3,0.5524956970740104,3,0
8,5,1,4,0,0,1,4,1532,3,180.0,178.0,1.0,5.988888888888889,0,15,3,0.657487091222031,3,1
8,6,1,4,0,0,1,5,1575,4,180.0,162.0,1.0,6.9,0,11,3,0.7340241796200345,3,1
